Date	Price	Open	High	Low	Change
8/14/2008	1.4777	1.4897	1.4949	1.4763	-0.82%
8/15/2008	1.4689	1.4776	1.4794	1.466	-0.60%
8/18/2008	1.4696	1.4692	1.4766	1.4667	0.05%
8/19/2008	1.4793	1.4697	1.4805	1.463	0.66%
8/20/2008	1.4751	1.4792	1.4799	1.4672	-0.28%
8/21/2008	1.4888	1.4752	1.4908	1.4744	0.93%
8/22/2008	1.4793	1.4889	1.4893	1.4759	-0.64%
8/25/2008	1.4726	1.4782	1.4807	1.4697	-0.45%
8/26/2008	1.4646	1.4727	1.4727	1.4571	-0.54%
8/27/2008	1.4745	1.4645	1.4775	1.4645	0.68%
8/28/2008	1.4703	1.4747	1.4811	1.4671	-0.28%
8/29/2008	1.4678	1.4702	1.4767	1.464	-0.17%
9/1/2008	1.4582	1.4704	1.4708	1.4556	-0.65%
9/2/2008	1.4486	1.4583	1.4597	1.4464	-0.66%
9/3/2008	1.4512	1.4485	1.4521	1.4383	0.18%
9/4/2008	1.426	1.4513	1.4542	1.421	-1.74%
9/5/2008	1.4267	1.4259	1.4347	1.4196	0.05%
